ID,Sikayet Icerigi
1,"Akmina karadutlu 1 litre maden suyu A101'den devamlı aldığım bir üründür ama maalesef bozuk meyve kokusu ve bozuk meyve tadı var. Keyifle içerdim, bu durum beni ciddi rahatsız etti. Bir açıklaması ve izahı var mıdır? Yetkililere duyurulur. Alım tarihi 01/07/2024 bilginize."
2,"Biz Karakuyu köyündeyiz. Bizim civar köylerde elektrik var, bu sıcak yaz gününde 45 derecede elektriğimizi kesiyorlar. Sabah ve akşam yeter artık! Biz sustukça siz devam ediyorsunuz. Gerçekten artık bıktık. Faturalarımızı da ödüyoruz. Yani böyle kafalarına göre elektriği kesiyorlar. Nerede büyükşehir belediye başkanı? Biraz artık bir şeyler mi yapsanız? Biz cidden burada mağduruz."
3,Macromusic uygulamasından yanlışlıkla yapmış olduğum satın alma işlemimin iptal edilip para iadesinin yapılmasını istedim ancak uygulamadaki 3 aylık abonelik satın alınmasının iptal edilmesine rağmen para iadesi gerçekleştirilmedi. Para iadesinin yapılmasını istiyorum.
