ID,Sikayet Icerigi
1,https://www.sikayetvar.com/millenicom/yalandan-ibaret-olan-firma-millenicom
2,https://www.sikayetvar.com/weplay/weplay-premium-sohbet-odasi-acilmadi
3,https://www.sikayetvar.com/aras-kargo/aras-kargo-trendyol-siparisimi-kaybetti-urun-teslim-edildi-gorunuyor
4,https://www.sikayetvar.com/aras-kargo/aras-kargo-soguk-zincir-urunu-2-gun-aracta-dolastirdi
